file_id,network,sensor,channel,type,starttime,endtime,window,overlap,windowing,n_windows,n_variables,missing_rate,low_filter,high_filter,nsamples,srate,trend_removed,coherent_noise_removed,save_time
156,C7,PPMA,HHZ,FFT,2021-09-21 00:00:00.00,2021-09-22 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:30.00
157,C7,PLPI,HHN,FFT,2021-09-22 00:00:00.00,2021-09-23 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:39.00
158,C7,PLPI,HHE,FFT,2021-09-22 00:00:00.00,2021-09-23 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:47.00
159,C7,PLPI,HHZ,FFT,2021-09-22 00:00:00.00,2021-09-23 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:54:55.00
160,C7,PPMA,HHN,FFT,2021-09-22 00:00:00.00,2021-09-23 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:03.00
161,C7,PPMA,HHE,FFT,2021-09-22 00:00:00.00,2021-09-23 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:12.00
162,C7,PPMA,HHZ,FFT,2021-09-22 00:00:00.00,2021-09-23 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:20.00
163,C7,PLPI,HHN,FFT,2021-09-23 00:00:00.00,2021-09-24 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:28.00
164,C7,PLPI,HHE,FFT,2021-09-23 00:00:00.00,2021-09-24 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:36.00
165,C7,PLPI,HHZ,FFT,2021-09-23 00:00:00.00,2021-09-24 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:44.00
166,C7,PPMA,HHN,FFT,2021-09-23 00:00:00.00,2021-09-24 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:55:53.00
167,C7,PPMA,HHE,FFT,2021-09-23 00:00:00.00,2021-09-24 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:01.00
168,C7,PPMA,HHZ,FFT,2021-09-23 00:00:00.00,2021-09-24 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:09.00
169,C7,PLPI,HHN,FFT,2021-09-24 00:00:00.00,2021-09-25 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:17.00
170,C7,PLPI,HHE,FFT,2021-09-24 00:00:00.00,2021-09-25 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:25.00
171,C7,PLPI,HHZ,FFT,2021-09-24 00:00:00.00,2021-09-25 00:00:00.00,10.0,0.0,False,8640,1500,0.0,0,50.0,8640001,100.0,False,False,2024-11-11 16:56:32.00
